txid,from_address,to_address,value,timestamp,classification,inputs,outputs,meta
struct_tx_004,donor_004,struct_target_001,0.006279,2025-08-25T12:04:00Z,unknown,"[{""address"": ""donor_004"", ""amount"": 0.006279, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005965}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 5, ""total_donors"": 25}"
struct_tx_005,donor_005,struct_target_001,0.005532,2025-08-25T12:05:00Z,unknown,"[{""address"": ""donor_005"", ""amount"": 0.005532, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005255}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 6, ""total_donors"": 25}"
struct_tx_006,donor_006,struct_target_001,0.006863,2025-08-25T12:06:00Z,unknown,"[{""address"": ""donor_006"", ""amount"": 0.006863, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.00652}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 7, ""total_donors"": 25}"
struct_tx_007,donor_007,struct_target_001,0.005577,2025-08-25T12:07:00Z,unknown,"[{""address"": ""donor_007"", ""amount"": 0.005577, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005298}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 8, ""total_donors"": 25}"
struct_tx_008,donor_008,struct_target_001,0.006849,2025-08-25T12:08:00Z,unknown,"[{""address"": ""donor_008"", ""amount"": 0.006849, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006507}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 9, ""total_donors"": 25}"
struct_tx_009,donor_009,struct_target_001,0.007543,2025-08-25T12:09:00Z,unknown,"[{""address"": ""donor_009"", ""amount"": 0.007543, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.007166}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 10, ""total_donors"": 25}"
struct_tx_010,donor_010,struct_target_001,0.007791,2025-08-25T12:10:00Z,illicit,"[{""address"": ""donor_010"", ""amount"": 0.007791, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.007401}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 11, ""total_donors"": 25}"
struct_tx_011,donor_011,struct_target_001,0.006856,2025-08-25T12:11:00Z,unknown,"[{""address"": ""donor_011"", ""amount"": 0.006856, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006513}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 12, ""total_donors"": 25}"
struct_tx_012,donor_012,struct_target_001,0.005455,2025-08-25T12:12:00Z,unknown,"[{""address"": ""donor_012"", ""amount"": 0.005455, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005182}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 13, ""total_donors"": 25}"
struct_tx_013,donor_013,struct_target_001,0.008523,2025-08-25T12:13:00Z,unknown,"[{""address"": ""donor_013"", ""amount"": 0.008523, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.008097}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 14, ""total_donors"": 25}"
struct_tx_014,donor_014,struct_target_001,0.005972,2025-08-25T12:14:00Z,unknown,"[{""address"": ""donor_014"", ""amount"": 0.005972, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005673}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 15, ""total_donors"": 25}"
struct_tx_015,donor_015,struct_target_001,0.006156,2025-08-25T12:15:00Z,unknown,"[{""address"": ""donor_015"", ""amount"": 0.006156, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005848}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 16, ""total_donors"": 25}"
struct_tx_016,donor_016,struct_target_001,0.006623,2025-08-25T12:16:00Z,unknown,"[{""address"": ""donor_016"", ""amount"": 0.006623, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006292}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 17, ""total_donors"": 25}"
struct_tx_017,donor_017,struct_target_001,0.005252,2025-08-25T12:17:00Z,unknown,"[{""address"": ""donor_017"", ""amount"": 0.005252, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.004989}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 18, ""total_donors"": 25}"
struct_tx_018,donor_018,struct_target_001,0.00715,2025-08-25T12:18:00Z,unknown,"[{""address"": ""donor_018"", ""amount"": 0.00715, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006792}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 19, ""total_donors"": 25}"
struct_tx_019,donor_019,struct_target_001,0.00583,2025-08-25T12:19:00Z,unknown,"[{""address"": ""donor_019"", ""amount"": 0.00583, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005539}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 20, ""total_donors"": 25}"
struct_tx_020,donor_020,struct_target_001,0.006241,2025-08-25T12:20:00Z,illicit,"[{""address"": ""donor_020"", ""amount"": 0.006241, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005929}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 21, ""total_donors"": 25}"
struct_tx_021,donor_021,struct_target_001,0.005065,2025-08-25T12:21:00Z,unknown,"[{""address"": ""donor_021"", ""amount"": 0.005065, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.004812}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 22, ""total_donors"": 25}"
struct_tx_022,donor_022,struct_target_001,0.008721,2025-08-25T12:22:00Z,unknown,"[{""address"": ""donor_022"", ""amount"": 0.008721, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.008285}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 23, ""total_donors"": 25}"
struct_tx_023,donor_023,struct_target_001,0.006195,2025-08-25T12:23:00Z,unknown,"[{""address"": ""donor_023"", ""amount"": 0.006195, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.005885}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 24, ""total_donors"": 25}"
struct_tx_024,donor_024,struct_target_001,0.006497,2025-08-25T12:24:00Z,unknown,"[{""address"": ""donor_024"", ""amount"": 0.006497, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006172}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 25, ""total_donors"": 25}"
coinjoin_tx_000,coinjoin_mixer_0,coinjoin_out_0_0,1.066899,2025-08-25T14:00:00Z,unknown,"[{""address"": ""coinjoin_in_0_0"", ""amount"": 0.38517, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_0_1"", ""amount"": 0.218168, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_0_2"", ""amount"": 0.29019, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_0_3"", ""amount"": 0.173371, ""script_type"": ""p2sh""}]","[{""address"": ""coinjoin_out_0_0"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_1"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_2"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_3"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_4"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_5"", ""amount"": 0.1}, {""address"": ""coinjoin_out_0_6"", ""amount"": 0.1}]","{""source"": ""synthetic"", ""pattern"": ""coinjoin"", ""equal_outputs"": 7, ""equal_amount"": 0.1}"
coinjoin_tx_001,coinjoin_mixer_1,coinjoin_out_1_0,1.785372,2025-08-25T14:10:00Z,unknown,"[{""address"": ""coinjoin_in_1_0"", ""amount"": 0.327234, ""script_type"": ""p2wpkh""}, {""address"": ""coinjoin_in_1_1"", ""amount"": 0.319277, ""script_type"": ""p2wpkh""}, {""address"": ""coinjoin_in_1_2"", ""amount"": 0.362373, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_1_3"", ""amount"": 0.298328, ""script_type"": ""p2sh""}, {""address"": ""coinjoin_in_1_4"", ""amount"": 0.174579, ""script_type"": ""p2sh""}, {""address"": ""coinjoin_in_1_5"", ""amount"": 0.303581, ""script_type"": ""p2wpkh""}]","[{""address"": ""coinjoin_out_1_0"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_1"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_2"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_3"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_4"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_5"", ""amount"": 0.1}, {""address"": ""coinjoin_out_1_6"", ""amount"": 0.1}]","{""source"": ""synthetic"", ""pattern"": ""coinjoin"", ""equal_outputs"": 7, ""equal_amount"": 0.1}"
coinjoin_tx_002,coinjoin_mixer_2,coinjoin_out_2_0,1.19895,2025-08-25T14:20:00Z,unknown,"[{""address"": ""coinjoin_in_2_0"", ""amount"": 0.198694, ""script_type"": ""p2wpkh""}, {""address"": ""coinjoin_in_2_1"", ""amount"": 0.179341, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_2_2"", ""amount"": 0.205561, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_2_3"", ""amount"": 0.27859, ""script_type"": ""p2tr""}, {""address"": ""coinjoin_in_2_4"", ""amount"": 0.336764, ""script_type"": ""p2sh""}]","[{""address"": ""coinjoin_out_2_0"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_1"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_2"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_3"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_4"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_5"", ""amount"": 0.1}, {""address"": ""coinjoin_out_2_6"", ""amount"": 0.1}]","{""source"": ""synthetic"", ""pattern"": ""coinjoin"", ""equal_outputs"": 7, ""equal_amount"": 0.1}"
rapid_tx_000,rapid_addr_0,rapid_addr_1,50.0,2025-08-25T16:00:00Z,illicit,"[{""address"": ""rapid_addr_0"", ""amount"": 50.0, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_1"", ""amount"": 49.0}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 28, ""hop_number"": 1}"
rapid_tx_001,rapid_addr_1,rapid_addr_2,49.0,2025-08-25T16:36:00Z,unknown,"[{""address"": ""rapid_addr_1"", ""amount"": 49.0, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_2"", ""amount"": 48.02}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 36, ""hop_number"": 2}"
rapid_tx_002,rapid_addr_2,rapid_addr_3,48.02,2025-08-25T17:14:00Z,unknown,"[{""address"": ""rapid_addr_2"", ""amount"": 48.02, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_3"", ""amount"": 47.0596}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 37, ""hop_number"": 3}"
rapid_tx_003,rapid_addr_3,rapid_addr_4,47.0596,2025-08-25T18:12:00Z,unknown,"[{""address"": ""rapid_addr_3"", ""amount"": 47.0596, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_4"", ""amount"": 46.118408}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 44, ""hop_number"": 4}"
rapid_tx_004,rapid_addr_4,rapid_addr_5,46.118408,2025-08-25T17:28:00Z,unknown,"[{""address"": ""rapid_addr_4"", ""amount"": 46.118408, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_5"", ""amount"": 45.19604}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 22, ""hop_number"": 5}"
rapid_tx_005,rapid_addr_5,rapid_addr_6,45.19604,2025-08-25T18:00:00Z,unknown,"[{""address"": ""rapid_addr_5"", ""amount"": 45.19604, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_6"", ""amount"": 44.292119}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 24, ""hop_number"": 6}"
rapid_tx_006,rapid_addr_6,rapid_addr_7,44.292119,2025-08-25T19:42:00Z,unknown,"[{""address"": ""rapid_addr_6"", ""amount"": 44.292119, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_7"", ""amount"": 43.406277}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 37, ""hop_number"": 7}"
rapid_tx_007,rapid_addr_7,rapid_addr_8,43.406277,2025-08-25T20:40:00Z,illicit,"[{""address"": ""rapid_addr_7"", ""amount"": 43.406277, ""script_type"": ""p2wpkh""}]","[{""address"": ""rapid_addr_8"", ""amount"": 42.538151}]","{""source"": ""synthetic"", ""pattern"": ""rapid_movement"", ""gap_minutes"": 40, ""hop_number"": 8}"
layer_disperse_000,layer_source,layer_mid_0,66.666667,2025-08-25T18:00:00Z,illicit,"[{""address"": ""layer_source"", ""amount"": 66.666667, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_mid_0"", ""amount"": 63.333333}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""dispersion"", ""entropy_level"": 1}"
layer_disperse_001,layer_source,layer_mid_1,66.666667,2025-08-25T18:30:00Z,unknown,"[{""address"": ""layer_source"", ""amount"": 66.666667, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_mid_1"", ""amount"": 63.333333}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""dispersion"", ""entropy_level"": 2}"
layer_disperse_002,layer_source,layer_mid_2,66.666667,2025-08-25T19:00:00Z,unknown,"[{""address"": ""layer_source"", ""amount"": 66.666667, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_mid_2"", ""amount"": 63.333333}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""dispersion"", ""entropy_level"": 3}"
layer_spread_0_000,layer_mid_0,layer_spread_0_0,22.222222,2025-08-25T20:00:00Z,unknown,"[{""address"": ""layer_mid_0"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_0_0"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_0_001,layer_mid_0,layer_spread_0_1,22.222222,2025-08-25T20:06:00Z,unknown,"[{""address"": ""layer_mid_0"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_0_1"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_0_002,layer_mid_0,layer_spread_0_2,22.222222,2025-08-25T20:12:00Z,unknown,"[{""address"": ""layer_mid_0"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_0_2"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_1_000,layer_mid_1,layer_spread_1_0,22.222222,2025-08-25T20:18:00Z,unknown,"[{""address"": ""layer_mid_1"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_1_0"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_1_001,layer_mid_1,layer_spread_1_1,22.222222,2025-08-25T20:24:00Z,unknown,"[{""address"": ""layer_mid_1"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_1_1"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_1_002,layer_mid_1,layer_spread_1_2,22.222222,2025-08-25T20:30:00Z,unknown,"[{""address"": ""layer_mid_1"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_1_2"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_2_000,layer_mid_2,layer_spread_2_0,22.222222,2025-08-25T20:36:00Z,unknown,"[{""address"": ""layer_mid_2"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_2_0"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_2_001,layer_mid_2,layer_spread_2_1,22.222222,2025-08-25T20:42:00Z,unknown,"[{""address"": ""layer_mid_2"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_2_1"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
layer_spread_2_002,layer_mid_2,layer_spread_2_2,22.222222,2025-08-25T20:48:00Z,unknown,"[{""address"": ""layer_mid_2"", ""amount"": 22.222222, ""script_type"": ""p2wpkh""}]","[{""address"": ""layer_spread_2_2"", ""amount"": 21.111111}]","{""source"": ""synthetic"", ""pattern"": ""layering"", ""phase"": ""spreading"", ""entropy_level"": 9}"
tf_donation_000,tf_donor_000,tf_target_001,0.00584,2025-08-25T20:00:00Z,illicit,"[{""address"": ""tf_donor_000"", ""amount"": 0.00584, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005723}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 1, ""total_donors"": 30}"
tf_donation_001,tf_donor_001,tf_target_001,0.007709,2025-08-25T20:02:00Z,unknown,"[{""address"": ""tf_donor_001"", ""amount"": 0.007709, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007555}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 2, ""total_donors"": 30}"
tf_donation_002,tf_donor_002,tf_target_001,0.006756,2025-08-25T20:04:00Z,unknown,"[{""address"": ""tf_donor_002"", ""amount"": 0.006756, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.006621}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 3, ""total_donors"": 30}"
tf_donation_003,tf_donor_003,tf_target_001,0.005841,2025-08-25T20:06:00Z,unknown,"[{""address"": ""tf_donor_003"", ""amount"": 0.005841, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005724}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 4, ""total_donors"": 30}"
tf_donation_004,tf_donor_004,tf_target_001,0.003338,2025-08-25T20:08:00Z,unknown,"[{""address"": ""tf_donor_004"", ""amount"": 0.003338, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.003271}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 5, ""total_donors"": 30}"
tf_donation_005,tf_donor_005,tf_target_001,0.003699,2025-08-25T20:10:00Z,unknown,"[{""address"": ""tf_donor_005"", ""amount"": 0.003699, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.003625}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 6, ""total_donors"": 30}"
tf_donation_006,tf_donor_006,tf_target_001,0.008489,2025-08-25T20:12:00Z,unknown,"[{""address"": ""tf_donor_006"", ""amount"": 0.008489, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.008319}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 7, ""total_donors"": 30}"
tf_donation_007,tf_donor_007,tf_target_001,0.006931,2025-08-25T20:14:00Z,unknown,"[{""address"": ""tf_donor_007"", ""amount"": 0.006931, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.006792}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 8, ""total_donors"": 30}"
tf_donation_008,tf_donor_008,tf_target_001,0.008014,2025-08-25T20:16:00Z,unknown,"[{""address"": ""tf_donor_008"", ""amount"": 0.008014, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007854}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 9, ""total_donors"": 30}"
tf_donation_009,tf_donor_009,tf_target_001,0.005651,2025-08-25T20:18:00Z,unknown,"[{""address"": ""tf_donor_009"", ""amount"": 0.005651, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005538}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 10, ""total_donors"": 30}"
tf_donation_010,tf_donor_010,tf_target_001,0.007476,2025-08-25T20:20:00Z,unknown,"[{""address"": ""tf_donor_010"", ""amount"": 0.007476, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007326}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 11, ""total_donors"": 30}"
tf_donation_011,tf_donor_011,tf_target_001,0.005354,2025-08-25T20:22:00Z,unknown,"[{""address"": ""tf_donor_011"", ""amount"": 0.005354, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005247}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 12, ""total_donors"": 30}"
tf_donation_012,tf_donor_012,tf_target_001,0.00494,2025-08-25T20:24:00Z,unknown,"[{""address"": ""tf_donor_012"", ""amount"": 0.00494, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.004841}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 13, ""total_donors"": 30}"
